Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Reunion              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     4.2     3.5     3.5     2.7     2.4     2.3     2.4     2.5     3.1     3.8     4.6     3.7     2.8     2.4     3.8     3.8     3.2
 1902     4.3     3.6     3.2     3.0     2.6     2.3     2.6     2.6     3.9     4.0     4.3     3.9     2.9     2.5     4.1     3.8     3.4
 1903     4.0     3.5     3.5     2.9     2.8     2.7     2.3     2.9     2.9     3.7     4.1     3.8     3.1     2.6     3.6     3.6     3.2
 1904     3.7     3.5     3.3     2.7     2.7     2.3     2.2     2.9     3.0     4.2     4.5     4.0     2.9     2.4     3.9     3.8     3.2
 1905     4.0     3.5     3.2     2.5     2.7     2.8     2.3     3.0     3.1     4.2     4.0     3.8     2.8     2.7     3.8     3.9     3.3
 1906     4.4     3.7     3.7     2.9     2.6     2.3     2.3     2.7     3.3     3.8     4.1     3.8     3.1     2.4     3.7     3.7     3.3
 1907     3.9     3.6     3.1     2.8     2.6     2.4     2.0     2.8     3.5     4.4     4.2     3.6     2.8     2.4     4.0     3.7     3.2
 1908     4.0     3.5     3.5     2.8     2.3     2.6     2.4     3.0     3.7     4.4     4.4     3.7     2.9     2.6     4.2     3.7     3.4
 1909     3.8     3.5     3.3     2.8     2.4     2.0     2.6     2.8     3.7     3.7     4.3     4.3     2.8     2.5     3.9     4.0     3.3
 1910     4.0     3.6     3.3     2.9     2.4     2.1     2.3     2.9     3.5     4.1     3.7     3.6     2.9     2.4     3.8     3.6     3.2
 1911     3.8     3.3     3.2     2.4     2.3     2.2     2.5     2.8     3.5     4.1     4.1     4.2     2.6     2.5     3.9     3.9     3.2
 1912     4.2     3.4     3.7     2.9     2.7     2.5     2.4     3.0     3.9     4.2     4.6     3.9     3.1     2.6     4.2     3.7     3.4
 1913     3.7     3.4     3.6     2.5     2.8     2.3     2.2     3.1     3.6     4.4     4.1     3.7     3.0     2.5     4.0     3.8     3.3
 1914     3.8     3.8     3.4     2.9     2.6     2.6     2.3     3.0     3.6     4.0     3.9     4.2     3.0     2.6     3.9     4.0     3.3
 1915     4.0     3.7     3.4     3.0     2.7     2.3     2.6     2.6     3.3     4.4     4.2     3.9     3.0     2.5     4.0     3.8     3.3
 1916     4.0     3.5     3.5     2.9     2.5     2.3     1.9     2.9     3.4     4.0     3.8     3.4     2.9     2.4     3.7     3.4     3.2
