Climatic Research Unit Country File created on Tue 19 Sep 2017 17:57:34 BST, from CRU TS run #1709081022
Country = Niue                 : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2016 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     3.6     3.5     3.0     3.1     2.2     2.0     1.7     2.2     2.3     2.5     2.8     3.4     2.8     2.0     2.5     3.5     2.7
 1902     3.6     3.5     3.3     2.6     2.2     1.7     1.9     2.2     2.6     2.9     3.0     3.4     2.7     1.9     2.8     3.3     2.7
 1903     3.2     3.4     3.6     2.8     2.3     1.9     2.0     2.4     2.7     2.8     2.7     3.0     2.9     2.1     2.7     3.1     2.7
 1904     3.1     3.2     3.0     2.3     2.1     2.0     1.8     1.9     2.5     2.7     2.9     3.5     2.5     1.9     2.7     3.5     2.6
 1905     3.4     3.5     3.3     2.5     2.1     1.7     1.7     2.0     2.4     2.8     2.8     3.2     2.6     1.8     2.7     3.6     2.6
 1906     3.8     3.7     3.1     2.8     2.1     1.9     1.5     2.3     2.2     2.7     2.7     3.1     2.7     1.9     2.5     3.3     2.7
 1907     3.6     3.3     2.9     2.7     1.8     1.8     1.5     2.0     2.2     3.0     3.0     2.9     2.5     1.8     2.7     3.3     2.6
 1908     3.6     3.4     3.1     2.8     2.0     1.8     1.7     2.6     2.5     3.0     3.0     3.4     2.6     2.0     2.8     3.3     2.7
 1909     3.3     3.2     2.9     2.3     1.7     1.6     1.8     2.7     2.5     3.0     3.1     3.3     2.3     2.0     2.9     3.6     2.6
 1910     3.7     3.7     3.2     2.7     2.2     2.0     2.4     2.1     3.2     3.3     2.7     3.7     2.7     2.2     3.1     3.7     2.9
 1911     3.7     3.7     3.2     2.9     2.2     2.1     2.0     2.4     2.5     3.2     3.3     3.9     2.8     2.2     3.0     3.9     2.9
 1912     4.1     3.8     3.4     2.5     2.2     2.1     2.1     2.6     2.8     3.0     3.3     3.5     2.7     2.3     3.0     3.7     2.9
 1913     4.0     3.5     3.6     3.2     2.2     1.9     2.0     2.5     2.6     2.7     3.1     3.2     3.0     2.1     2.8     3.5     2.9
 1914     3.7     3.7     3.7     2.7     2.5     2.2     1.8     2.0     2.2     3.1     3.0     3.5     3.0     2.0     2.8     3.7     2.8
 1915     4.2     3.4     3.5     2.6     2.0     1.7     1.8     2.1     2.6     3.1     2.7     3.3     2.7     1.9     2.8     3.4     2.8
 1916     3.5     3.5     3.6     2.7     2.0     1.9     1.8     2.4     2.6     2.6     2.7     3.2     2.8     2.0     2.6     3.4     2.7
 1917     3.5     3.4     3.1     2.5     2.0     1.9     1.9     2.6     2.3     2.6     2.8     3.8     2.5     2.1     2.6     3.7     2.7
 1918     3.9     3.3     3.4     2.8     2.1     2.2     1.9     2.3     2.6     2.8     3.1     3.1     2.8     2.1     2.8     3.5     2.8
 1919     3.6     3.7     3.1     3.0     2.1     1.8     2.0     2.5     3.3     3.9     3.5     3.5     2.7     2.1     3.6     3.8     3.0
 1920     4.1     3.7     3.7     3.2     2.4     2.2     2.4     2.6     2.8     3.2     3.6     4.0     3.1     2.4     3.2     3.8     3.2
 1921     3.7     3.8     3.4     2.5     1.7     1.7     2.0     2.4     2.8     3.2     3.3     3.4     2.5     2.0     3.1     3.6     2.8
 1922     3.8     3.5     3.1     2.9     2.2     2.0     1.8     2.5     2.6     2.8     3.0     3.3     2.7     2.1     2.8     3.6     2.8
 1923     3.8     3.6     3.1     2.8     2.3     2.0     2.3     2.6     2.7     2.8     3.0     3.3     2.7     2.3     2.8     3.6     2.9
 1924     3.7     3.7     3.3     2.8     2.3     2.0     1.9     2.4     2.9     3.4     3.4     3.3     2.8     2.1     3.2     3.5     2.9
 1925     3.6     3.5     3.1     3.0     1.9     1.9     1.8     2.5     2.8     3.1     3.1     3.1     2.7     2.1     3.0     3.4     2.8
 1926     3.6     3.6     3.0     2.7     2.5     2.0     1.9     2.4     2.8     3.2     3.2     3.4     2.7     2.1     3.1     3.6     2.9
 1927     4.1     3.3     3.3     3.0     2.4     2.1     2.0     2.4     2.5     3.1     3.2     3.3     2.9     2.2     2.9     3.5     2.9
 1928     3.6     3.5     3.2     2.8     2.2     1.9     1.6     2.3     2.6     3.2     3.2     3.8     2.7     1.9     3.0     3.7     2.8
 1929     3.6     3.6     3.3     3.1     2.2     1.8     1.8     2.1     2.5     3.0     3.2     3.3     2.9     1.9     2.9     3.5     2.8
 1930     3.8     3.4     3.3     2.8     2.2     1.7     1.7     2.1     2.3     2.9     3.1     3.8     2.8     1.8     2.8     3.6     2.8
 1931     3.6     3.5     3.2     2.9     2.1     1.7     1.9     2.2     2.9     3.1     3.2     3.4     2.7     1.9     3.1     3.5     2.8
 1932     3.6     3.6     3.2     2.6     2.3     2.1     2.0     2.4     2.7     3.1     3.2     3.4     2.7     2.2     3.0     3.5     2.9
 1933     3.6     3.6     3.0     2.9     2.3     2.0     1.8     2.3     2.7     3.0     3.2     3.0     2.7     2.0     3.0     3.4     2.8
 1934     3.6     3.5     2.9     2.8     2.0     2.1     1.9     2.3     2.6     3.1     3.2     3.2     2.6     2.1     3.0     3.4     2.8
 1935     3.3     3.7     3.0     2.7     2.1     1.9     2.1     2.3     2.7     3.2     3.2     3.3     2.6     2.1     3.0     3.6     2.8
 1936     3.8     3.6     3.3     2.8     2.2     2.0     1.9     2.2     2.6     2.9     3.2     3.6     2.8     2.0     2.9     3.7     2.8
 1937     3.9     3.6     3.2     2.9     2.1     1.9     2.1     2.2     2.7     3.0     3.3     3.5     2.7     2.1     3.0     3.6     2.9
 1938     3.9     3.5     3.4     2.8     2.2     2.1     2.2     2.4     2.7     3.1     2.7     3.3     2.8     2.2     2.8     3.6     2.9
 1939     3.6     3.8     2.9     2.7     2.2     2.0     2.3     2.5     2.5     3.1     3.3     3.5     2.6     2.3     3.0     3.7     2.9
 1940     3.8     3.9     3.5     2.8     2.4     1.7     1.7     2.3     2.6     3.0     3.1     3.3     2.9     1.9     2.9     3.6     2.8
 1941     3.9     3.6     3.4     3.2     2.2     2.1     1.7     2.2     2.6     3.0     3.3     3.5     2.9     2.0     3.0     3.7     2.9
 1942     3.9     3.7     3.3     2.9     2.3     2.1     1.9     2.2     2.6     2.9     3.1     3.3     2.8     2.1     2.9     3.6     2.9
 1943     3.7     3.7     3.4     2.9     2.1     1.9     2.0     2.5     2.7     3.3     3.4     3.3     2.8     2.1     3.1     3.4     2.9
 1944     3.5     3.4     3.4     2.8     2.3     2.0     2.2     2.3     2.5     2.8     3.0     3.3     2.8     2.2     2.8     3.5     2.8
 1945     3.7     3.6     3.5     2.9     2.4     1.9     2.0     2.1     2.4     2.9     2.9     3.5     2.9     2.0     2.7     3.6     2.8
 1946     3.8     3.6     3.3     3.2     2.4     2.2     2.0     2.3     2.9     3.3     3.4     3.7     3.0     2.2     3.2     3.8     3.0
 1947     4.1     3.7     3.4     3.5     2.4     2.0     2.2     2.5     2.9     3.3     3.2     3.4     3.1     2.2     3.1     3.6     3.1
 1948     3.9     3.4     3.3     2.9     2.3     2.1     2.0     2.4     2.9     3.2     3.3     3.2     2.8     2.2     3.1     3.6     2.9
 1949     3.9     3.7     3.4     3.2     2.2     2.1     2.0     2.4     2.8     3.1     3.5     3.3     2.9     2.2     3.1     3.6     3.0
 1950     3.8     3.7     3.0     3.0     2.1     2.0     2.1     2.5     2.9     3.2     3.4     3.5     2.7     2.2     3.2     3.7     2.9
 1951     3.8     3.9     3.1     2.9     2.2     1.9     1.8     2.5     2.5     2.9     3.1     3.6     2.7     2.1     2.8     3.8     2.9
 1952     3.9     3.8     3.5     2.9     2.4     2.3     2.0     2.7     2.8     3.0     3.5     3.6     2.9     2.3     3.1     3.8     3.0
 1953     4.0     3.8     3.4     3.2     2.3     2.0     2.0     2.2     2.7     3.1     3.4     3.6     3.0     2.1     3.1     3.7     3.0
 1954     3.8     3.6     2.9     2.9     2.4     2.0     2.1     2.5     2.8     3.1     3.1     3.6     2.7     2.2     3.0     3.7     2.9
 1955     3.9     3.7     3.1     3.0     2.2     2.1     2.2     2.4     2.6     3.0     3.3     3.4     2.8     2.2     3.0     3.5     2.9
 1956     3.6     3.4     2.9     2.9     2.5     2.0     2.0     2.5     2.7     3.4     3.3     3.5     2.8     2.2     3.1     3.5     2.9
 1957     3.7     3.4     3.1     3.0     2.3     2.0     2.1     2.4     2.8     3.2     3.2     3.3     2.8     2.2     3.1     3.5     2.9
