1,2,2,1,1,3,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,2,1,2,3,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,7,6,11,14,11
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,1,3,2,3,5,5,1,1,7,4,10,12,4,15,12,9,8,19,10
1,2,2,1,2,1,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,8
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,1,1,4,5,2,3,7,2,6,8,8,8,9,12,7,5,12,14,1
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,2,5,5,5,1,1,7,9,10,12,2,15,8,9,8,2,10
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,2,1,1,3,7,3,8,2,7,9,7,10,8,9,7,16,1,8
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,4,5,2,3,1,1,7,9,10,8,2,15,15,5,9,2,10
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,1,1,4,5,2,3,7,2,7,8,6,8,9,12,15,5,9,2,7
1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,8
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,2,2,1,2,1,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,2,1,2,1,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,8
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,7,6,11,14,11
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,2,1,2,1,7,8,8,2,7,9,7,10,8,9,7,16,1,8
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,7,6,11,14,1
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,5,17,11
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,1,3,4,4,6,4,9,10,10,3,13,14,5,14,17,5,4,13
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,2,1,2,1,7,8,8,4,3,9,7,10,8,9,3,16,1,8
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,1,4,5,4,6,4,9,5,8,3,5,11,5,5,6,11,17,11
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,6,11,14,7
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,1,4,5,2,3,7,2,6,8,8,8,9,12,7,5,12,14,1
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,2,1,4,5,2,3,7,2,6,8,6,5,9,12,7,6,11,14,1
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,2,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,5,5,1,7,7,4,2,12,4,2,12,9,8,19,10
1,1,3,2,3,5,5,6,7,7,4,2,12,4,2,12,9,8,19,20
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,6,9,14,7
1,2,2,1,2,1,7,3,8,2,7,9,7,10,8,9,7,16,1,8
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,4,5,5,5,1,1,7,9,10,12,2,15,8,9,8,2,10
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,2,1,1,3,2,3,4,2,7,4,7,14,11,14,7,7,1,8
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,8
1,2,2,1,2,1,7,8,8,4,3,9,4,10,8,9,3,16,9,9
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,7,5,12,14,1
1,1,3,2,3,6,4,6,7,8,4,2,6,4,2,12,4,1,13,20
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,7,6,11,14,1
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,14,7
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,6,11,17,11
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,3,1,3,2,3,4,10,10,4,13,14,11,14,15,7,4,13
1,2,1,3,4,4,6,4,9,10,10,3,13,11,5,5,17,5,4,13
1,2,2,1,2,1,1,5,3,3,5,5,10,8,1,6,16,18,16,9
1,2,1,4,4,4,6,4,9,5,2,3,5,11,5,5,6,11,14,11
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,1,3,4,4,6,4,9,5,2,3,5,11,5,5,17,5,17,11
1,2,1,4,5,2,3,7,2,6,8,3,8,9,12,15,6,11,14,11
1,1,1,4,5,2,3,7,2,6,8,6,8,9,12,15,5,9,2,7
1,2,1,4,5,2,3,7,2,6,8,6,8,9,12,7,6,11,14,1
1,1,3,2,3,5,5,6,7,8,4,2,12,4,2,12,4,1,19,20
1,2,1,4,5,2,3,7,2,6,8,8,8,9,4,7,5,12,14,1
1,1,3,2,3,5,5,1,1,7,9,10,12,2,15,8,9,8,19,10
1,1,3,2,3,5,5,6,1,8,9,2,12,4,2,12,4,1,19,20
